#Time   Prey   Predator
0.0 2.0000 2.0000
0.1 1.8000 2.0000
0.2 1.6200 1.9600
0.3 1.4710 1.8855
0.4 1.3576 1.7858
0.5 1.2800 1.6711
0.6 1.2362 1.5508
0.7 1.2236 1.4323
0.8 1.2402 1.3211
0.9 1.2846 1.2207
1.0 1.3564 1.1334
1.1 1.4559 1.0605
1.2 1.5839 1.0028
1.3 1.7414 0.9611
1.4 1.9291 0.9362
1.5 2.1466 0.9296
1.6 2.3915 0.9432
1.7 2.6578 0.9801
1.8 2.9342 1.0446
1.9 3.2014 1.1422
2.0 3.4305 1.2794
2.1 3.5819 1.4624
2.2 3.6088 1.6937
2.3 3.4690 1.9662
2.4 3.1456 2.2550
2.5 2.6706 2.5133
2.6 2.1294 2.6818
2.7 1.6261 2.7165
2.8 1.2305 2.6149
2.9 0.9561 2.4137
3.0 0.7814 2.1617
3.1 0.6780 1.8983
3.2 0.6240 1.6473
3.3 0.6056 1.4206
3.4 0.6152 1.2225
3.5 0.6493 1.0532
3.6 0.7073 0.9109
3.7 0.7906 0.7931
3.8 0.9024 0.6972
3.9 1.0473 0.6207
4.0 1.2315 0.5616
4.1 1.4626 0.5184
4.2 1.7497 0.4905
4.3 2.1030 0.4782
4.4 2.5328 0.4831
4.5 3.0479 0.5088
4.6 3.6521 0.5621
4.7 4.3372 0.6550
4.8 5.0702 0.8081
4.9 5.7718 1.0562
5.0 6.2841 1.4546
5.1 6.3412 2.0778
5.2 5.6084 2.9798
5.3 3.9485 4.0550
5.4 1.9308 4.8451
5.5 0.6391 4.8116
5.6 0.2158 4.1568
5.7 0.1011 3.4151
5.8 0.0624 2.7666
5.9 0.0466 2.2305
6.0 0.0398 1.7948
6.1 0.0375 1.4430
6.2 0.0379 1.1598
6.3 0.0405 0.9322
6.4 0.0451 0.7495
6.5 0.0519 0.6030
6.6 0.0612 0.4855
6.7 0.0736 0.3914
6.8 0.0899 0.3160
6.9 0.1112 0.2556
7.0 0.1389 0.2073
7.1 0.1748 0.1687
7.2 0.2213 0.1379
7.3 0.2816 0.1134
7.4 0.3597 0.0939
7.5 0.4609 0.0785
7.6 0.5919 0.0664
7.7 0.7616 0.0571
7.8 0.9814 0.0500
7.9 1.2660 0.0449
8.0 1.6344 0.0416
8.1 2.1111 0.0401
8.2 2.7275 0.0405
8.3 3.5237 0.0434
8.4 4.5502 0.0500
8.5 5.8698 0.0628
8.6 7.5570 0.0871
8.7 9.6925 0.1355
8.8 12.3376 0.2397
8.9 15.4474 0.4875
9.0 18.5755 1.1431
9.1 19.9014 3.0378
9.2 13.7805 8.4759
9.3 -5.4458 18.4609
9.4 13.0273 4.7153
9.5 4.6500 9.9150
9.6 -3.1760 12.5425
9.7 3.8382 6.0505
9.8 0.3451 7.1627
9.9 -0.0457 5.9773
10.0 -0.0048 4.7545
