#Time   Velocity
0.00 0.00000
0.02 0.00200
0.04 0.00398
0.06 0.00594
0.08 0.00788
0.10 0.00980
0.12 0.01170
0.14 0.01358
0.16 0.01544
0.18 0.01729
0.20 0.01912
0.22 0.02093
0.24 0.02272
0.26 0.02449
0.28 0.02625
0.30 0.02799
0.32 0.02971
0.34 0.03141
0.36 0.03310
0.38 0.03477
0.40 0.03642
0.42 0.03806
0.44 0.03968
0.46 0.04128
0.48 0.04287
0.50 0.04444
0.52 0.04600
0.54 0.04754
0.56 0.04906
0.58 0.05057
0.60 0.05206
0.62 0.05354
0.64 0.05500
0.66 0.05645
0.68 0.05789
0.70 0.05931
0.72 0.06072
0.74 0.06211
0.76 0.06349
0.78 0.06486
0.80 0.06621
0.82 0.06755
0.84 0.06887
0.86 0.07018
0.88 0.07148
0.90 0.07277
0.92 0.07404
0.94 0.07530
0.96 0.07655
0.98 0.07778
1.00 0.07900
