#Time   Velocity
0.00 0E-8
0.02 0.00200000
0.04 0.00398000
0.06 0.00594020
0.08 0.00788080
0.10 0.00980199
0.12 0.01170397
0.14 0.01358693
0.16 0.01545106
0.18 0.01729655
0.20 0.01912358
0.22 0.02093234
0.24 0.02272302
0.26 0.02449579
0.28 0.02625083
0.30 0.02798832
0.32 0.02970844
0.34 0.03141136
0.36 0.03309725
0.38 0.03476628
0.40 0.03641862
0.42 0.03805443
0.44 0.03967389
0.46 0.04127715
0.48 0.04286438
0.50 0.04443574
0.52 0.04599138
0.54 0.04753147
0.56 0.04905616
0.58 0.05056560
0.60 0.05205994
0.62 0.05353934
0.64 0.05500395
0.66 0.05645391
0.68 0.05788937
0.70 0.05931048
0.72 0.06071738
0.74 0.06211021
0.76 0.06348911
0.78 0.06485422
0.80 0.06620568
0.82 0.06754362
0.84 0.06886818
0.86 0.07017950
0.88 0.07147770
0.90 0.07276292
0.92 0.07403529
0.94 0.07529494
0.96 0.07654199
0.98 0.07777657
1.00 0.07899880
